producto,marca,grupo,categoria,precio,precio_lista,pvp_sugerido,gap_pct,estado_sugerido,producto_sugerido,fuente_sugerido,super,sku,url
30% OFF,artico,artico,,,,,,,,,tiendainglesa,1579070,"https://www.tiendainglesa.com.uy/supermercado/milanesas-de-pollo-artico-500-gr.producto?1579070,,42"
Aceite de Girasol y Maíz TIENDA INGLESA 900 ml en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,8026,"https://www.tiendainglesa.com.uy/supermercado/aceite-de-girasol-y-maiz-tienda-inglesa-900-ml.producto?8026,,42&campaign=search_facets"
Aceitunas Verdes sin Carozo RÍO DE LA PLATA 300 gr en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,6469,"https://www.tiendainglesa.com.uy/supermercado/aceitunas-verdes-sin-carozo-rio-de-la-plata-300-gr.producto?6469,,42&campaign=search_facets"
Acelga Envasada,artico,artico,,64,,,,,,,disco,420006,https://www.disco.com.uy/product/acelga-envasada/420006
Aderezo para pescados PIZCAS 25 g,artico,artico,,227,,,,,,,disco,665132,https://www.disco.com.uy/product/aderezo-para-pescados-pizcas-25-g/665132
Aderezo Pasta y Pizza PIZCAS 25 g,artico,artico,,257,,,,,,,disco,379582,https://www.disco.com.uy/product/aderezo-pasta-y-pizza-pizcas-25-g/379582
Agua Mineral Natural SALUS sin Gas 6.25L en Tienda Inglesa,artico,artico,,258,,,,,,,tiendainglesa,7821,"https://www.tiendainglesa.com.uy/supermercado/agua-mineral-natural-salus-sin-gas-6.25l.producto?7821,,42&campaign=search_facets"
Ajos TIENDA INGLESA (2 un.) en Tienda Inglesa,artico,artico,,,,,,,,,tiendainglesa,1535,"https://www.tiendainglesa.com.uy/supermercado/ajos-tienda-inglesa-2-un..producto?1535,,42&campaign=search_facets"
Alfombra para Baño 50x120 cm Ártico,artico,artico,,1990,,,,,,,disco,712849,https://www.disco.com.uy/product/alfombra-para-bano-50x120-cm-artico/712849
Alimento para gatos CAT CHOW pescado 85 g,artico,artico,,64,,,,,,,disco,572734,https://www.disco.com.uy/product/alimento-para-gatos-cat-chow-pescado-85-g/572734
